1,2,3,4,5,6,7,8,yuyu
-0.007,0.819,1.749,2.465,3.366,4.075,4.789,5.570,6.288
0.022,0.801,1.694,2.575,3.282,4.090,4.808,5.538,6.244
0.013,0.850,1.666,2.537,3.308,4.138,4.840,5.581,6.197
-0.056,0.883,1.676,2.478,3.300,4.107,4.888,5.580,6.252
0.024,0.850,1.695,2.493,3.315,4.120,4.878,5.542,6.233
-0.029,0.796,1.720,2.545,3.435,4.059,4.878,5.558,6.204
-0.005,0.803,1.647,2.512,3.302,4.150,4.897,5.553,6.213
0.044,0.870,1.658,2.448,3.266,4.083,4.852,5.537,6.230
-0.016,0.839,1.636,2.492,3.268,4.138,4.877,5.558,6.217
0.006,0.845,1.612,2.487,3.301,4.105,4.758,5.590,6.227
0.018,0.830,1.694,2.541,3.329,4.096,4.867,5.586,6.223
0.003,0.878,1.688,2.528,3.299,4.134,4.900,5.582,6.243
-0.012,0.813,1.724,2.550,3.376,4.139,4.907,5.511,6.280
-0.028,0.907,1.705,2.483,3.356,4.122,4.802,5.520,6.212
-0.016,0.851,1.652,2.459,3.258,4.054,4.856,5.616,6.197
0.012,0.889,1.655,2.535,3.304,4.158,4.875,5.500,6.244
0.011,0.841,1.609,2.507,3.311,4.095,4.857,5.591,6.296
0.015,0.893,1.701,2.527,3.289,4.174,4.803,5.603,6.267
0.057,0.846,1.666,2.530,3.242,4.065,4.802,5.511,6.248
0.031,0.843,1.717,2.564,3.318,4.097,4.842,5.509,6.207
-0.093,0.833,1.678,2.487,3.296,4.130,4.895,5.626,6.263
-0.010,0.893,1.715,2.506,3.214,4.182,4.788,5.542,6.214
0.009,0.851,1.721,2.544,3.302,4.091,4.852,5.615,6.225
-0.007,0.788,1.704,2.531,3.389,4.038,4.869,5.639,6.247
0.024,0.879,1.668,2.496,3.333,4.132,4.856,5.551,6.224
0.032,0.770,1.713,2.504,3.367,4.103,4.845,5.623,6.272
0.003,0.861,1.664,2.531,3.284,4.080,4.839,5.603,6.339
-0.061,0.886,1.683,2.500,3.372,4.106,4.890,5.527,6.179
0.040,0.851,1.671,2.456,3.273,4.078,4.839,5.578,6.218
0.006,0.841,1.723,2.563,3.303,4.180,4.821,5.505,6.254
-0.007,0.872,1.650,2.522,3.248,4.072,4.815,5.673,6.239
0.046,0.899,1.666,2.477,3.323,4.153,4.906,5.544,6.222
0.042,0.824,1.665,2.563,3.358,4.008,4.789,5.598,6.244
0.086,0.865,1.681,2.520,3.384,4.112,4.889,5.541,6.168
-0.038,0.873,1.667,2.576,3.307,4.104,4.916,5.593,6.298
0.003,0.858,1.673,2.465,3.272,4.065,4.818,5.599,6.239
0.010,0.879,1.668,2.516,3.353,4.009,4.799,5.609,6.266
-0.005,0.940,1.660,2.511,3.394,4.090,4.834,5.485,6.264
0.010,0.811,1.664,2.527,3.336,4.186,4.807,5.542,6.202
0.073,0.897,1.744,2.506,3.313,4.051,4.940,5.468,6.228
-0.008,0.880,1.686,2.502,3.390,4.114,4.898,5.604,6.223
0.001,0.826,1.738,2.492,3.354,4.080,4.812,5.595,6.209
0.005,0.837,1.718,2.531,3.361,4.144,4.851,5.549,6.163
-0.087,0.869,1.726,2.494,3.298,4.164,4.891,5.583,6.217
-0.000,0.859,1.647,2.549,3.240,4.077,4.784,5.593,6.197
-0.001,0.860,1.709,2.572,3.353,4.105,4.904,5.535,6.175
-0.035,0.881,1.670,2.491,3.394,4.078,4.783,5.558,6.236
-0.056,0.844,1.758,2.558,3.333,4.073,4.903,5.550,6.210
-0.008,0.861,1.675,2.428,3.356,4.101,4.853,5.530,6.249
0.015,0.873,1.671,2.567,3.275,4.081,4.786,5.617,6.204
0.027,0.838,1.688,2.502,3.320,4.148,4.829,5.594,6.332
0.072,0.801,1.699,2.536,3.338,4.116,4.885,5.606,6.185
0.024,0.885,1.718,2.511,3.309,4.073,4.800,5.554,6.228
0.008,0.804,1.768,2.527,3.364,4.102,4.883,5.557,6.277
0.006,0.763,1.668,2.384,3.340,4.097,4.936,5.537,6.264
0.031,0.845,1.681,2.471,3.347,4.093,4.873,5.586,6.217
